id,distrito,provincia,poblacion
1388,Pomán,Catamarca,12260
1106,La Paz,Mendoza,12086
1447,Itatí,Corrientes,12010
1197,San Martín,Santiago del Estero,11848
1254,Guaminí,Buenos Aires,11801
1362,Suipacha,Buenos Aires,11786
1205,Puelén,La Pampa,11654
1355,Laprida,Buenos Aires,11646
1375,General La Madrid,Buenos Aires,11618
1520,Mburucuyá,Corrientes,11568
1315,General Felipe Varela,La Rioja,11372
1055,Maipú,Buenos Aires,11323
1502,Atreucó,La Pampa,11138
1415,Rancul,La Pampa,11133
1539,Calingasta,San Juan,11034
1252,Belgrano,Santiago del Estero,10813
1485,Florentino Ameghino,Buenos Aires,10790
1335,Tapalqué,Buenos Aires,10783
1381,Hipólito Yrigoyen,Buenos Aires,10661
1218,Fray Justo Santa María de Oro,Chaco,10653
1509,Sauce,Corrientes,10382
1521,Concepción,Misiones,10348
1168,Aluminé,Neuquén,10244
1548,Angaco,San Juan,10176
1413,Silípica,Santiago del Estero,9766
1292,Castelli,Buenos Aires,9594
1503,Guatraché,La Pampa,9517
1077,Salliqueló,Buenos Aires,9427
1479,Santa Victoria,Salta,9413
1151,Pilcaniyeu,Río Negro,9373
1189,Loventué,La Pampa,9322
1229,Minas,Neuquén,9267
1256,Guasayán,Santiago del Estero,9255
1350,Tres Lomas,Buenos Aires,9164
1515,General Alvear,Corrientes,9145
1112,San Cayetano,Buenos Aires,8994
1253,Aguirre,Santiago del Estero,8970
1093,Cachi,Salta,8948
1095,La Viña,Salta,8900
1540,Iglesia,San Juan,8845
1542,Valle Fértil,San Juan,8526
1214,Picunches,Neuquén,8495
1397,Monte Hermoso,Buenos Aires,8465
1501,Quemú Quemú,La Pampa,8460
1526,2 de Abril,Chaco,8319
1306,Catriló,La Pampa,8235
1080,San Carlos,Salta,7798
1159,Hucal,La Pampa,7787
1226,Loncopué,Neuquén,7698
1219,General Belgrano,La Rioja,7618
1101,Conesa,Río Negro,7429
1099,General Ortiz de Ocampo,La Rioja,7349
1414,La Candelaria,Salta,7205
1191,Los Andes,Salta,7182
1160,Pellegrini,Buenos Aires,7143
1277,Famatina,La Rioja,7002
1265,El Cuy,Río Negro,6960
1443,San Antonio,Jujuy,6729
1550,Zonda,San Juan,6683
1551,Ullum,San Juan,6454
1155,Río Senguer,Chubut,6366
1248,Río Chico,Santa Cruz,6314
1120,Lezama,Buenos Aires,6221
1184,Iruya,Salta,6118
1463,Tolhuin,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",6039
1451,Tehuelches,Chubut,5978
1098,Molinos,Salta,5820
1424,Castro Barros,La Rioja,5810
1224,Trenel,La Pampa,5702
1227,Ñorquín,Neuquén,5609
1039,Belgrano,San Luis,5583
1313,Tumbaya,Jujuy,5381
1090,Rivadavia,Santiago del Estero,5315
1394,Ambato,Catamarca,5129
1554,Pocho,Córdoba,5123
1166,Picún Leufú,Neuquén,5087
1258,Sarmiento,Santiago del Estero,5038
1441,General San Martín,La Rioja,5019
1131,Minas,Córdoba,4870
1068,General Lavalle,Buenos Aires,4870
1270,Collón Curá,Neuquén,4835
1407,Paclín,Catamarca,4725
1038,Libertador General San Martín,San Luis,4691
1374,Pila,Buenos Aires,4642
1259,Sobremonte,Córdoba,4503
1408,El Alto,Catamarca,4375
1144,Valcheta,Río Negro,4319
1442,San Blas de Los Sauces,La Rioja,4314
1183,Susques,Jujuy,4098
1196,Tapenagá,Chaco,4059
1427,General Juan Facundo Quiroga,La Rioja,4017
1145,9 de Julio,Río Negro,3719
1417,Guachipas,Salta,3491
1387,Ancasti,Catamarca,3302
1437,Ángel Vicente Peñaloza,La Rioja,3185
1082,General Guido,Buenos Aires,3174
1426,Sanagasta,La Rioja,3038
1206,Chalileo,La Pampa,2885
1251,Languiñeo,Chubut,2884
1448,Berón de Astrada,Corrientes,2826
1238,Vinchina,La Rioja,2699
1236,Catán Lil,Neuquén,2676
1199,Santa Catalina,Jujuy,2646
1195,Caleu Caleu,La Pampa,2611
1400,Tordillo,Buenos Aires,2542
1201,Valle Grande,Jujuy,2509
1116,Independencia,La Rioja,2401
1282,Antofagasta de la Sierra,Catamarca,2022
1263,Paso de Indios,Chubut,1886
1125,General Lamadrid,La Rioja,1886
1337,Rinconada,Jujuy,1802
1285,La Poma,Salta,1789
1486,Florentino Ameghino,Chubut,1786
1150,Telsen,Chubut,1623
1207,Chical Co,La Pampa,1466
1148,Ñorquinco,Río Negro,1452
1470,Mitre,Santiago del Estero,1440
1459,Gastre,Chubut,1195
1072,Curacó,La Pampa,1116
1257,Mártires,Chubut,754
1157,Lihuel Calel,La Pampa,443
1204,Limay Mahuida,La Pampa,423
1073,Antártida Argentina,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",81
1556,Islas del Atlántico Sur,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",0
